,Ground Truths,Max Log-Like,Best b,Best phi
0,1243,-31642.443006068497,0.5,0.2482012224411686
1,1234,-31642.450902580145,0.5,0.24869086084463488
2,1423,-31622.814540982094,0.5,0.264223666623205
3,1432,-31622.815423675915,0.5,0.2642880610361575
4,1324,-31753.33234116754,0.5,0.11470781629021537
5,1342,-31753.325807531495,0.5,0.11432874487494311
6,2143,-31780.53830347354,0.5,0.0
7,2134,-31780.53830347354,0.5,0.0
8,2413,-31780.53830347354,0.5,0.0
9,2431,-31780.53830347354,0.5,0.0
10,2314,-31780.53830347354,0.5,0.0
11,2341,-31780.53830347354,0.5,0.0
12,4123,-31632.342282012796,0.5,0.25650378244230365
13,4132,-31632.34320236904,0.5,0.25656950230691494
14,4213,-31757.326409461057,0.5,0.10631884197539174
15,4231,-31757.33479702612,0.5,0.10676639337583484
16,4312,-31663.7549865892,0.5,0.22921899688891118
17,4321,-31663.76913048522,0.5,0.23001834454942693
18,3124,-31780.53830347354,0.5,0.0
19,3142,-31780.53830347354,0.5,0.0
20,3214,-31780.53830347354,0.5,0.0
21,3241,-31780.53830347354,0.5,0.0
22,3412,-31780.53830347354,0.5,0.0
23,3421,-31780.53830347354,0.5,0.0
