,Ground Truths,Max Log-Like,Best b,Best phi
0,1234,-7005.994551201774,0.0,0.27417329680632946
1,1243,-7068.835127926297,0.5,0.46825049888555836
2,1324,-6588.165905034608,0.0,0.5152855766229233
3,1342,-6710.986666887739,0.21142178307933504,0.596105528255122
4,1423,-7091.966651596579,0.5,0.4240788705995665
5,1432,-7091.937871950744,0.5,0.41766150244709127
6,2134,-7185.579710416934,0.5,0.0
7,2143,-7185.579710416934,0.5,0.0
8,2314,-7185.579710416934,0.4991152724881462,0.0
9,2341,-7185.579710416934,0.5,0.0
10,2413,-7185.579710416934,0.5,0.0
11,2431,-7185.579710416934,0.5,0.0
12,3124,-6472.298072227907,0.0,0.5678935277791508
13,3142,-6614.260615941253,0.15407296148157767,0.6080664368748671
14,3214,-6936.577722557967,0.0,0.3244237875967903
15,3241,-7079.918811958264,0.5,0.4443512565876645
16,3412,-7091.884252670246,0.14596367017643333,0.23830176472870676
17,3421,-7113.701317304312,0.5,0.3713295977733726
18,4123,-7185.579710416934,0.5,0.0
19,4132,-7185.579710416934,0.5,0.0
20,4213,-7185.579710416934,0.5,0.0
21,4231,-7185.579710416934,0.5,0.0
22,4312,-7185.579710416934,0.5,0.0
23,4321,-7185.579710416934,0.5,0.0
