,Ground Truths,Max Log-Like,Best b,Best phi
0,1234,-57.70945804049276,0.48912842958035785,1.3114963620280335
1,1243,-57.71450658769349,0.5,1.3311476724371432
2,1324,-54.05520581779765,0.45172634010145046,1.6205930763073906
3,1342,-54.03287600683258,0.5,1.6205608012969772
4,1423,-57.0351109282609,0.5,1.3832828625889366
5,1432,-57.03507298688368,0.5,1.385469356128584
6,2134,-65.84507865113311,0.0,0.19955695583235572
7,2143,-66.73913043730688,0.5,0.0
8,2314,-66.73913043730688,0.5,0.0
9,2341,-66.73913043730688,0.5,0.0
10,2413,-66.73913043730688,0.5,0.0
11,2431,-66.73913043730688,0.5,0.0
12,3124,-63.88578324396755,0.0,0.36183724247388177
13,3142,-65.40062433071485,0.0,0.24498751074646835
14,3214,-66.73913043730688,0.5,0.0
15,3241,-66.73913043730688,0.5,0.0
16,3412,-66.73913043730688,0.5,0.0
17,3421,-66.73913043730688,0.5,0.0
18,4123,-66.73927882992686,0.5,0.00572674384001954
19,4132,-66.56315355900209,0.0,0.0880749906473545
20,4213,-66.73913043730688,0.5,0.0
21,4231,-66.73913043730688,0.5,0.0
22,4312,-66.73913043730688,0.5,0.0
23,4321,-66.73913043730688,0.5,0.0
