binary	ranking	observed	expected	expected
patterns	(y)	freq.	freq. (WMD)	freq. (UMD)
111111	1234	16	15.41	17.14
111110	1243	16	8.74	10.76
111011	1324	14	14.66	14.62
111001	1342	2	6.79	6.54
111100	1423	4	7.46	8.69
111000	1432	9	6.12	6.16
011111	2134	16	18.48	17.71
011110	2143	10	11.03	11.47
01111	2314	19	14.58	13.36
00111	2341	3	5.05	5.17
10110	2413	8	9.64	9.1
00110	2431	9	5.42	5.28
101011	3124	22	21.21	19.8
101001	3142	14	10.17	9.57
001011	3214	14	17.43	17.39
000011	3241	3	5.94	7.03
100001	3412	8	9.58	9.87
000001	3421	11	6.55	8.03
110100	4123	21	17.08	16.66
110000	4132	12	13.85	12.34
010100	4213	14	17.92	16.51
000100	4231	9	10.39	10.28
100000	4312	11	14.79	13.86
000000	4321	14	10.64	11.6

