2018-10-25 00:17:07.743168

Experiment Configuration 
 {'optimization': 'optimizations.Unweighted', 'optimization_params': {}, 'heuristic': 'heuristics.No_Heuristic', 'heuristic_params': {}, 'weight': 'rankobjects.Arithmetic', 'data_file': 'data/simulated/sim_5_100.csv'} 

Unweighted max log likelihood for [1 2 3 4 5] is -418.297175
Unweighted max log likelihood for [1 2 3 5 4] is -418.297175
Unweighted max log likelihood for [1 2 4 3 5] is -448.297175
Unweighted max log likelihood for [1 2 4 5 3] is -484.297175
Unweighted max log likelihood for [1 2 5 3 4] is -454.297175
Unweighted max log likelihood for [1 2 5 4 3] is -484.297175
Unweighted max log likelihood for [1 3 2 4 5] is -462.297175
Unweighted max log likelihood for [1 3 2 5 4] is -462.297175
Unweighted max log likelihood for [1 3 4 2 5] is -526.297175
Unweighted max log likelihood for [1 3 4 5 2] is -586.297175
Unweighted max log likelihood for [1 3 5 2 4] is -522.297175
Unweighted max log likelihood for [1 3 5 4 2] is -586.297175
Unweighted max log likelihood for [1 4 2 3 5] is -512.297175
Unweighted max log likelihood for [1 4 2 5 3] is -548.297175
Unweighted max log likelihood for [1 4 3 2 5] is -556.297175
Unweighted max log likelihood for [1 4 3 5 2] is -616.297175
Unweighted max log likelihood for [1 4 5 2 3] is -608.297175
Unweighted max log likelihood for [1 4 5 3 2] is -652.297175
Unweighted max log likelihood for [1 5 2 3 4] is -514.297175
Unweighted max log likelihood for [1 5 2 4 3] is -544.297175
Unweighted max log likelihood for [1 5 3 2 4] is -558.297175
Unweighted max log likelihood for [1 5 3 4 2] is -622.297175
Unweighted max log likelihood for [1 5 4 2 3] is -608.297175
Unweighted max log likelihood for [1 5 4 3 2] is -652.297175
Unweighted max log likelihood for [2 1 3 4 5] is -456.297175
Unweighted max log likelihood for [2 1 3 5 4] is -456.297175
Unweighted max log likelihood for [2 1 4 3 5] is -486.297175
Unweighted max log likelihood for [2 1 4 5 3] is -522.297175
Unweighted max log likelihood for [2 1 5 3 4] is -492.297175
Unweighted max log likelihood for [2 1 5 4 3] is -522.297175
Unweighted max log likelihood for [2 3 1 4 5] is -524.297175
Unweighted max log likelihood for [2 3 1 5 4] is -524.297175
Unweighted max log likelihood for [2 3 4 1 5] is -598.297175
Unweighted max log likelihood for [2 3 4 5 1] is -670.297175
Unweighted max log likelihood for [2 3 5 1 4] is -596.297175
Unweighted max log likelihood for [2 3 5 4 1] is -670.297175
Unweighted max log likelihood for [2 4 1 3 5] is -560.297175
Unweighted max log likelihood for [2 4 1 5 3] is -596.297175
Unweighted max log likelihood for [2 4 3 1 5] is -628.297175
Unweighted max log likelihood for [2 4 3 5 1] is -700.297175
Unweighted max log likelihood for [2 4 5 1 3] is -668.297175
Unweighted max log likelihood for [2 4 5 3 1] is -736.297175
Unweighted max log likelihood for [2 5 1 3 4] is -564.297175
Unweighted max log likelihood for [2 5 1 4 3] is -594.297175
Unweighted max log likelihood for [2 5 3 1 4] is -632.297175
Unweighted max log likelihood for [2 5 3 4 1] is -706.297175
Unweighted max log likelihood for [2 5 4 1 3] is -668.297175
Unweighted max log likelihood for [2 5 4 3 1] is -736.297175
Unweighted max log likelihood for [3 1 2 4 5] is -530.297175
Unweighted max log likelihood for [3 1 2 5 4] is -530.297175
Unweighted max log likelihood for [3 1 4 2 5] is -594.297175
Unweighted max log likelihood for [3 1 4 5 2] is -654.297175
Unweighted max log likelihood for [3 1 5 2 4] is -590.297175
Unweighted max log likelihood for [3 1 5 4 2] is -654.297175
Unweighted max log likelihood for [3 2 1 4 5] is -568.297175
Unweighted max log likelihood for [3 2 1 5 4] is -568.297175
Unweighted max log likelihood for [3 2 4 1 5] is -642.297175
Unweighted max log likelihood for [3 2 4 5 1] is -714.297175
Unweighted max log likelihood for [3 2 5 1 4] is -640.297175
Unweighted max log likelihood for [3 2 5 4 1] is -714.297175
