2018-10-25 01:39:42.136358

Experiment Configuration 
 {'optimization': 'optimizations.Unweighted', 'optimization_params': {}, 'heuristic': 'heuristics.No_Heuristic', 'heuristic_params': {}, 'weight': 'rankobjects.Arithmetic', 'data_file': 'data/manual/manual_5_100.csv'} 

Unweighted max log likelihood for [1 2 3 4 5] is -524.297175
Unweighted max log likelihood for [1 2 3 5 4] is -492.297175
Unweighted max log likelihood for [1 2 4 3 5] is -558.297175
Unweighted max log likelihood for [1 2 4 5 3] is -526.297175
Unweighted max log likelihood for [1 2 5 3 4] is -460.297175
Unweighted max log likelihood for [1 2 5 4 3] is -494.297175
Unweighted max log likelihood for [1 3 2 4 5] is -624.297175
Unweighted max log likelihood for [1 3 2 5 4] is -592.297175
Unweighted max log likelihood for [1 3 4 2 5] is -724.297175
Unweighted max log likelihood for [1 3 4 5 2] is -758.297175
Unweighted max log likelihood for [1 3 5 2 4] is -626.297175
Unweighted max log likelihood for [1 3 5 4 2] is -726.297175
Unweighted max log likelihood for [1 4 2 3 5] is -658.297175
Unweighted max log likelihood for [1 4 2 5 3] is -626.297175
Unweighted max log likelihood for [1 4 3 2 5] is -758.297175
Unweighted max log likelihood for [1 4 3 5 2] is -792.297175
Unweighted max log likelihood for [1 4 5 2 3] is -660.297175
Unweighted max log likelihood for [1 4 5 3 2] is -760.297175
Unweighted max log likelihood for [1 5 2 3 4] is -494.297175
Unweighted max log likelihood for [1 5 2 4 3] is -528.297175
Unweighted max log likelihood for [1 5 3 2 4] is -594.297175
Unweighted max log likelihood for [1 5 3 4 2] is -694.297175
Unweighted max log likelihood for [1 5 4 2 3] is -628.297175
Unweighted max log likelihood for [1 5 4 3 2] is -728.297175
Unweighted max log likelihood for [2 1 3 4 5] is -492.297175
Unweighted max log likelihood for [2 1 3 5 4] is -460.297175
Unweighted max log likelihood for [2 1 4 3 5] is -526.297175
Unweighted max log likelihood for [2 1 4 5 3] is -494.297175
Unweighted max log likelihood for [2 1 5 3 4] is -428.297175
Unweighted max log likelihood for [2 1 5 4 3] is -462.297175
Unweighted max log likelihood for [2 3 1 4 5] is -526.297175
Unweighted max log likelihood for [2 3 1 5 4] is -494.297175
Unweighted max log likelihood for [2 3 4 1 5] is -560.297175
Unweighted max log likelihood for [2 3 4 5 1] is -594.297175
Unweighted max log likelihood for [2 3 5 1 4] is -528.297175
Unweighted max log likelihood for [2 3 5 4 1] is -562.297175
Unweighted max log likelihood for [2 4 1 3 5] is -560.297175
Unweighted max log likelihood for [2 4 1 5 3] is -528.297175
Unweighted max log likelihood for [2 4 3 1 5] is -594.297175
Unweighted max log likelihood for [2 4 3 5 1] is -628.297175
Unweighted max log likelihood for [2 4 5 1 3] is -562.297175
Unweighted max log likelihood for [2 4 5 3 1] is -596.297175
Unweighted max log likelihood for [2 5 1 3 4] is -462.297175
Unweighted max log likelihood for [2 5 1 4 3] is -496.297175
Unweighted max log likelihood for [2 5 3 1 4] is -496.297175
Unweighted max log likelihood for [2 5 3 4 1] is -530.297175
Unweighted max log likelihood for [2 5 4 1 3] is -530.297175
Unweighted max log likelihood for [2 5 4 3 1] is -564.297175
Unweighted max log likelihood for [3 1 2 4 5] is -658.297175
Unweighted max log likelihood for [3 1 2 5 4] is -626.297175
Unweighted max log likelihood for [3 1 4 2 5] is -758.297175
Unweighted max log likelihood for [3 1 4 5 2] is -792.297175
Unweighted max log likelihood for [3 1 5 2 4] is -660.297175
Unweighted max log likelihood for [3 1 5 4 2] is -760.297175
Unweighted max log likelihood for [3 2 1 4 5] is -626.297175
Unweighted max log likelihood for [3 2 1 5 4] is -594.297175
Unweighted max log likelihood for [3 2 4 1 5] is -660.297175
Unweighted max log likelihood for [3 2 4 5 1] is -694.297175
Unweighted max log likelihood for [3 2 5 1 4] is -628.297175
Unweighted max log likelihood for [3 2 5 4 1] is -662.297175
Unweighted max log likelihood for [3 4 1 2 5] is -792.297175
Unweighted max log likelihood for [3 4 1 5 2] is -826.297175
Unweighted max log likelihood for [3 4 2 1 5] is -760.297175
Unweighted max log likelihood for [3 4 2 5 1] is -794.297175
Unweighted max log likelihood for [3 4 5 1 2] is -860.297175
Unweighted max log likelihood for [3 4 5 2 1] is -828.297175
Unweighted max log likelihood for [3 5 1 2 4] is -694.297175
Unweighted max log likelihood for [3 5 1 4 2] is -794.297175
Unweighted max log likelihood for [3 5 2 1 4] is -662.297175
Unweighted max log likelihood for [3 5 2 4 1] is -696.297175
Unweighted max log likelihood for [3 5 4 1 2] is -828.297175
Unweighted max log likelihood for [3 5 4 2 1] is -796.297175
Unweighted max log likelihood for [4 1 2 3 5] is -692.297175
Unweighted max log likelihood for [4 1 2 5 3] is -660.297175
Unweighted max log likelihood for [4 1 3 2 5] is -792.297175
Unweighted max log likelihood for [4 1 3 5 2] is -826.297175
Unweighted max log likelihood for [4 1 5 2 3] is -694.297175
Unweighted max log likelihood for [4 1 5 3 2] is -794.297175
Unweighted max log likelihood for [4 2 1 3 5] is -660.297175
Unweighted max log likelihood for [4 2 1 5 3] is -628.297175
Unweighted max log likelihood for [4 2 3 1 5] is -694.297175
Unweighted max log likelihood for [4 2 3 5 1] is -728.297175
Unweighted max log likelihood for [4 2 5 1 3] is -662.297175
Unweighted max log likelihood for [4 2 5 3 1] is -696.297175
Unweighted max log likelihood for [4 3 1 2 5] is -826.297175
Unweighted max log likelihood for [4 3 1 5 2] is -860.297175
Unweighted max log likelihood for [4 3 2 1 5] is -794.297175
Unweighted max log likelihood for [4 3 2 5 1] is -828.297175
Unweighted max log likelihood for [4 3 5 1 2] is -894.297175
Unweighted max log likelihood for [4 3 5 2 1] is -862.297175
Unweighted max log likelihood for [4 5 1 2 3] is -728.297175
Unweighted max log likelihood for [4 5 1 3 2] is -828.297175
Unweighted max log likelihood for [4 5 2 1 3] is -696.297175
Unweighted max log likelihood for [4 5 2 3 1] is -730.297175
Unweighted max log likelihood for [4 5 3 1 2] is -862.297175
Unweighted max log likelihood for [4 5 3 2 1] is -830.297175
Unweighted max log likelihood for [5 1 2 3 4] is -528.297175
Unweighted max log likelihood for [5 1 2 4 3] is -562.297175
Unweighted max log likelihood for [5 1 3 2 4] is -628.297175
Unweighted max log likelihood for [5 1 3 4 2] is -728.297175
Unweighted max log likelihood for [5 1 4 2 3] is -662.297175
Unweighted max log likelihood for [5 1 4 3 2] is -762.297175
Unweighted max log likelihood for [5 2 1 3 4] is -496.297175
Unweighted max log likelihood for [5 2 1 4 3] is -530.297175
Unweighted max log likelihood for [5 2 3 1 4] is -530.297175
Unweighted max log likelihood for [5 2 3 4 1] is -564.297175
Unweighted max log likelihood for [5 2 4 1 3] is -564.297175
Unweighted max log likelihood for [5 2 4 3 1] is -598.297175
Unweighted max log likelihood for [5 3 1 2 4] is -662.297175
Unweighted max log likelihood for [5 3 1 4 2] is -762.297175
Unweighted max log likelihood for [5 3 2 1 4] is -630.297175
Unweighted max log likelihood for [5 3 2 4 1] is -664.297175
Unweighted max log likelihood for [5 3 4 1 2] is -796.297175
Unweighted max log likelihood for [5 3 4 2 1] is -764.297175
Unweighted max log likelihood for [5 4 1 2 3] is -696.297175
Unweighted max log likelihood for [5 4 1 3 2] is -796.297175
Unweighted max log likelihood for [5 4 2 1 3] is -664.297175
Unweighted max log likelihood for [5 4 2 3 1] is -698.297175
Unweighted max log likelihood for [5 4 3 1 2] is -830.297175
Unweighted max log likelihood for [5 4 3 2 1] is -798.297175

Optimal ground truth was (2, 1, 5, 3, 4) with (phi, b, max_log_like) = (1.000000, 0.000000, -428.297175)

--- 1.7431042194366455 seconds ---
