2018-10-25 00:12:11.233161

Permutation: 1 2 3 4 5 	 Count: 11
Permutation: 1 2 3 5 4 	 Count: 8
Permutation: 1 2 4 3 5 	 Count: 4
Permutation: 1 2 4 5 3 	 Count: 4
Permutation: 1 2 5 3 4 	 Count: 7
Permutation: 1 2 5 4 3 	 Count: 2
Permutation: 1 3 2 4 5 	 Count: 3
Permutation: 1 3 2 5 4 	 Count: 4
Permutation: 1 3 4 5 2 	 Count: 3
Permutation: 1 3 5 2 4 	 Count: 1
Permutation: 1 3 5 4 2 	 Count: 2
Permutation: 1 4 2 3 5 	 Count: 2
Permutation: 1 4 3 2 5 	 Count: 2
Permutation: 1 4 3 5 2 	 Count: 1
Permutation: 1 4 5 2 3 	 Count: 1
Permutation: 1 5 2 3 4 	 Count: 1
Permutation: 1 5 2 4 3 	 Count: 2
Permutation: 2 1 3 4 5 	 Count: 3
Permutation: 2 1 3 5 4 	 Count: 4
Permutation: 2 1 4 3 5 	 Count: 2
Permutation: 2 1 4 5 3 	 Count: 1
Permutation: 2 1 5 3 4 	 Count: 1
Permutation: 2 1 5 4 3 	 Count: 2
Permutation: 2 3 1 4 5 	 Count: 2
Permutation: 2 3 4 5 1 	 Count: 1
Permutation: 2 4 1 3 5 	 Count: 4
Permutation: 2 5 1 4 3 	 Count: 1
Permutation: 2 5 3 1 4 	 Count: 1
Permutation: 2 5 3 4 1 	 Count: 1
Permutation: 2 5 4 3 1 	 Count: 1
Permutation: 3 1 2 5 4 	 Count: 1
Permutation: 3 2 1 5 4 	 Count: 2
Permutation: 3 2 4 1 5 	 Count: 1
Permutation: 3 2 5 1 4 	 Count: 1
Permutation: 3 4 2 1 5 	 Count: 1
Permutation: 3 5 1 2 4 	 Count: 2
Permutation: 4 1 2 3 5 	 Count: 1
Permutation: 4 1 5 3 2 	 Count: 1
Permutation: 4 2 3 1 5 	 Count: 1
Permutation: 4 3 1 2 5 	 Count: 1
Permutation: 5 1 2 3 4 	 Count: 2
Permutation: 5 1 2 4 3 	 Count: 1
Permutation: 5 1 3 4 2 	 Count: 1
Permutation: 5 1 4 3 2 	 Count: 1
Permutation: 5 2 1 3 4 	 Count: 1
